org_key,year,event_key,match_key,match_number,time,alliance,team_key,scouter,startPosition,autoVolleys,autoVolleyQuality,crossTrenchAuto,crossBumpAuto,autoHerdingPushWave,autoHerdingSpitWave,autoHerdingLaunchWave,autoClimbLevel,autoClimbPos,autoBreakdown,autoBreakdownDes,teleHerdingPushWave,teleHerdingSpitWave,teleHerdingLaunchWave,teleVolleys,teleVolleyQuality,crossBumpTele,crossTrenchTele,defendedTime,scoring_locations,feedingLocations,teleClimb,climbTime,drivebaseSpeed,driverSkill,robotTier,contributedPoints,freeClimbPenalty,teleBreakdown,teleBreakdownDes,matchNotes,superNotes
frc5298,2026,2026gacmp,2026gacmp_qm45,45,4/10/2026 6:36:00 PM,red,frc9477,"Tyler K","Right Trench (across from Outpost)","0","Select One","1","0","0","0","0","None","No Attempt","0","","0","0","12","4","Above Average: 75-90%","0","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Average","Medium","40","0","0","","",""
frc5298,2026,2026gacmp,2026gacmp_qm45,45,4/10/2026 6:36:00 PM,red,frc11214,"Rossibel M","Right Bump (near Outpost)","2","Select One","1","0","2","1","2","None","No Attempt","0","","3","1","1","3","Average: 50-75%","0","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Average","Medium","50","0","0","","",""
frc5298,2026,2026gacmp,2026gacmp_qm45,45,4/10/2026 6:36:00 PM,blue,frc10482,"Jasiah M","Right Trench (across from Outpost)","2","Above Average: 75-90%","1","0","3","0","0","None","No Attempt","0","","4","0","0","5","Above Average: 75-90%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Good","IDK","70","0","0","","",""
frc5298,2026,2026gacmp,2026gacmp_qm45,45,4/10/2026 6:36:00 PM,blue,frc4509,"Chelsea G","Right Bump (near Outpost)","0","Average: 50-75%","1","0","1","0","0","None","No Attempt","0","","2","1","0","5","Above Average: 75-90%","1","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","High","Average","Medium","50","0","0","","They got stuck on the bump for a little bit",""
frc5298,2026,2026gacmp,2026gacmp_qm45,45,4/10/2026 6:36:00 PM,red,frc9480,"Francesca","Right Trench (across from Outpost)","5","Average: 50-75%","1","0","0","0","0","None","No Attempt","0","","0","0","0","21","Average: 50-75%","1","1","0","Did not Attempt to Score","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Average","Medium","260","0","0","","Always shot near the depot",""
frc5298,2026,2026gacmp,2026gacmp_qm46,46,4/10/2026 6:44:00 PM,blue,frc1683,"Gael G","Right Trench (across from Outpost)","1","Average: 50-75%","1","0","1","1","1","None","No Attempt","0","","3","2","1","2","Above Average: 75-90%","0","1","1","Close to Hub (within 6 feet)","Primarily in Alliance Zone","None","0","Average","Average","Medium","30","0","0","They got stuck on the bump for a lil, their teammate pushed them out though.","They definitely need to be close to the hub in order to score, were well in accuracy.",""
frc5298,2026,2026gacmp,2026gacmp_qm47,47,4/10/2026 6:52:00 PM,red,frc3091,"Reggie","Other","1","Below Average: Well-below 50%","0","0","0","0","0","None","No Attempt","0","","0","4","0","5","Average: 50-75%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Average","Medium","60","0","0","","",""
frc5298,2026,2026gacmp,2026gacmp_qm47,47,4/10/2026 6:52:00 PM,red,frc832,"Nouh E","Right Trench (across from Outpost)","2","Average: 50-75%","1","0","0","0","2","None","No Attempt","0","","4","0","0","0","Did not Attempt","0","0","0","Did not Attempt to Score","Did not attempt to Intake","None","0","Average","Average","Choose One","20","0","0","","",""
frc5298,2026,2026gacmp,2026gacmp_qm49,49,4/10/2026 7:08:00 PM,red,frc5109,"Nouh E","Right Trench (across from Outpost)","0","Below Average: Well-below 50%","1","0","0","0","0","None","No Attempt","0","","1","0","4","4","Above Average: 75-90%","1","1","1","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Good","Medium","40","0","1","Got stuck on a fuel","Team354, Nouh E.",""
frc5298,2026,2026gacmp,2026gacmp_qm51,51,4/10/2026 7:24:00 PM,red,frc3344,"Emil A","Left Trench (near Depot)","5","Above Average: 75-90%","1","1","1","0","1","None","No Attempt","0","","0","0","0","0","Did not Attempt","0","0","0","Close to Hub (within 6 feet)","Primarily in Alliance Zone","None","0","Average","Average","High","50","0","0","","Emil354Practice 16",""
frc5298,2026,2026gacmp,2026gacmp_qm52,52,4/10/2026 7:32:00 PM,red,frc11214,"Gael G","Left Bump (across from Depot)","0","Below Average: Well-below 50%","0","0","0","0","0","None","No Attempt","0","Ut was slightly moving","4","0","0","6","Above Average: 75-90%","0","1","0","Close to Hub (within 6 feet)","Primarily in Alliance Zone","None","0","Average","Average","Medium","60","0","0","","5298 Gael",""
frc5298,2026,2026gacmp,2026gacmp_qm52,52,4/10/2026 7:32:00 PM,blue,frc8080,"Chelsea G","Left Bump (across from Depot)","0","Select One","0","0","0","0","0","None","No Attempt","0","","2","1","0","5","Above Average: 75-90%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Average","Medium","50","0","0","","5289 chelsea 15",""
frc5298,2026,2026gacmp,2026gacmp_qm52,52,4/10/2026 7:32:00 PM,blue,frc1648,"Aaren B","Left Trench (near Depot)","0","Select One","0","0","0","0","0","None","No Attempt","0","","0","0","1","4","Above Average: 75-90%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Average","Choose One","40","0","0","","Aaren 5298",""
frc5298,2026,2026gacmp,2026gacmp_qm52,52,4/10/2026 7:32:00 PM,red,frc6910,"Rossibel M","Left Trench (near Depot)","1","Average: 50-75%","1","1","1","1","0","None","No Attempt","0","","1","0","0","1","Did not Attempt","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Average","Medium","20","0","0","","5298  Rossibell ",""
frc5298,2026,2026gacmp,2026gacmp_qm52,52,4/10/2026 7:32:00 PM,red,frc9522,"Tyler K","Right Trench (across from Outpost)","0","Select One","1","0","0","0","0","None","No Attempt","1","Not enough code","0","0","5","2","Above Average: 75-90%","0","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Good","Medium","20","0","0","","5298-Tyler Keating",""
frc5298,2026,2026gacmp,2026gacmp_qm53,53,4/10/2026 7:40:00 PM,red,frc9477,"Tyler K","Right Trench (across from Outpost)","0","Select One","1","0","0","0","0","None","No Attempt","1","Not enough code","0","6","10","5","Average: 50-75%","1","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Good","Medium","50","0","0","","354-Tyler Keating",""
frc5298,2026,2026gacmp,2026gacmp_qm53,53,4/10/2026 7:40:00 PM,red,frc6887,"Rossibel M","Right Trench (across from Outpost)","0","Select One","1","0","0","0","0","None","No Attempt","1","","1","0","2","3","Average: 50-75%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Average","Medium","30","0","0","","354 Rossibell ",""
frc5298,2026,2026gacmp,2026gacmp_qm53,53,4/10/2026 7:40:00 PM,blue,frc1002,"Jasiah M","Right Trench (across from Outpost)","0","Below Average: Well-below 50%","1","0","0","0","0","None","No Attempt","0","","1","0","4","4","Did not Attempt","1","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Average","Medium","40","0","0","","Jasiah 354",""
frc5298,2026,2026gacmp,2026gacmp_qm53,53,4/10/2026 7:40:00 PM,blue,frc5608,"Chelsea G","Right Trench (across from Outpost)","0","Select One","1","0","0","0","0","None","No Attempt","0","","3","0","4","5","Above Average: 75-90%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Good","High","50","0","0","","354 Chelsea ",""
frc5298,2026,2026gacmp,2026gacmp_qm54,54,4/10/2026 7:48:00 PM,red,frc4189,"Tyler K","Left Bump (across from Depot)","0","Select One","0","0","0","0","0","None","No Attempt","1","Not enough code","0","0","5","3","Above Average: 75-90%","0","1","0","Close to Hub (within 6 feet)","Heavy intake in both Alliance and Neutral Zone","None","0","Average","Good","Medium","30","0","0","","5298-Tyler Keating",""
frc5298,2026,2026gacmp,2026gacmp_qm54,54,4/10/2026 7:48:00 PM,blue,frc3091,"Chelsea G","Left Bump (across from Depot)","0","Below Average: Well-below 50%","0","0","0","0","0","None","No Attempt","0","","3","0","2","2","Above Average: 75-90%","1","1","0","Close to Hub (within 6 feet)","Primarily in Neutral Zone","None","0","Average","Good","Medium","20","0","0","","Chelsea 19 5298",""